                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64707,                  0.571,                0.16628,                0.59945,                0.27161,                0.27964,                0.11995,                0.64484,                0.59083,                0.16346,                 0.0001,                 0.0001,                 0.0001
                     37,                0.64278,                0.57299,                0.16454,                0.38331,                0.29009,                0.27849,                 0.1227,                0.63922,                0.58721,                0.16162,                 0.0001,                 0.0001,                 0.0001
                     38,                0.64697,                0.56672,                0.16508,                0.41038,                0.30244,                0.28632,                0.12522,                0.63582,                0.58302,                0.16047,                 0.0001,                 0.0001,                 0.0001
                     39,                0.64435,                0.56217,                0.16388,                0.42803,                0.30659,                0.30379,                0.13248,                0.63076,                0.57917,                0.15894,                 0.0001,                 0.0001,                 0.0001
                     40,                0.64154,                0.56394,                0.16203,                0.43609,                0.33718,                0.31968,                0.13851,                0.62588,                 0.5743,                0.15767,                 0.0001,                 0.0001,                 0.0001
                     41,                0.63455,                0.56101,                0.15941,                0.49558,                0.34129,                0.32742,                0.14186,                0.62708,                0.57047,                0.15734,                 0.0001,                 0.0001,                 0.0001
                     42,                0.63917,                0.56086,                0.16316,                 0.4441,                0.35977,                0.33798,                 0.1485,                0.62566,                0.56663,                0.15663,                 0.0001,                 0.0001,                 0.0001
                     43,                0.63694,                0.55881,                0.16015,                0.47904,                0.35816,                0.34363,                 0.1519,                0.62376,                0.56142,                0.15534,                 0.0001,                 0.0001,                 0.0001
                     44,                0.62928,                0.55759,                 0.1577,                0.49701,                0.36406,                0.35261,                0.15693,                 0.6188,                 0.5583,                 0.1538,                 0.0001,                 0.0001,                 0.0001
                     45,                0.63843,                 0.5555,                 0.1621,                 0.4794,                 0.3772,                0.36384,                0.16454,                 0.6129,                0.55455,                0.15202,                 0.0001,                 0.0001,                 0.0001
                     46,                 0.6345,                0.55672,                0.16053,                0.47887,                0.38222,                0.36986,                0.16924,                0.60908,                0.55063,                0.15053,                 0.0001,                 0.0001,                 0.0001
                     47,                 0.6256,                0.55357,                0.15582,                0.45301,                 0.3927,                0.37816,                0.17517,                0.60577,                0.54695,                0.14969,                 0.0001,                 0.0001,                 0.0001
                     48,                0.62688,                 0.5503,                0.15652,                0.46057,                0.39993,                0.38689,                0.17844,                0.60321,                0.54201,                0.14831,                 0.0001,                 0.0001,                 0.0001
                     49,                0.62575,                0.55227,                0.15696,                0.47704,                 0.4015,                0.39391,                0.18422,                0.59834,                0.53804,                0.14637,                 0.0001,                 0.0001,                 0.0001
                     50,                 0.6306,                0.55362,                0.15985,                0.47066,                 0.4147,                 0.4084,                0.18878,                0.59529,                0.53532,                0.14526,                 0.0001,                 0.0001,                 0.0001
                     51,                0.62493,                0.55296,                0.15749,                0.46595,                0.42116,                0.41461,                0.19489,                 0.5914,                0.53282,                0.14427,                 0.0001,                 0.0001,                 0.0001
                     52,                0.62531,                0.55497,                 0.1578,                0.46036,                0.44666,                0.42893,                0.20066,                  0.588,                0.52895,                0.14326,                 0.0001,                 0.0001,                 0.0001
                     53,                0.61911,                0.54796,                0.15351,                0.46634,                0.47195,                0.44006,                0.20577,                0.58694,                0.52718,                0.14252,                 0.0001,                 0.0001,                 0.0001
                     54,                0.62101,                0.54969,                0.15692,                 0.4898,                0.45614,                0.44785,                0.21205,                0.58335,                0.52464,                0.14132,                 0.0001,                 0.0001,                 0.0001
                     55,                0.61929,                0.55163,                0.15544,                 0.4889,                 0.4738,                0.46231,                0.21668,                0.57996,                0.52171,                0.14035,                 0.0001,                 0.0001,                 0.0001
                     56,                0.62091,                0.54866,                0.15576,                 0.5123,                0.49312,                0.47645,                 0.2247,                0.57615,                0.51938,                0.13965,                 0.0001,                 0.0001,                 0.0001
                     57,                0.61778,                0.54647,                0.15506,                0.52139,                0.48816,                0.47868,                0.22395,                0.57221,                0.51727,                0.13876,                 0.0001,                 0.0001,                 0.0001
                     58,                0.61755,                0.54719,                0.15432,                0.55448,                0.48461,                  0.487,                0.23202,                0.56749,                0.51446,                0.13795,                 0.0001,                 0.0001,                 0.0001
                     59,                0.61277,                0.54714,                  0.152,                0.56324,                0.47853,                0.49569,                0.23743,                  0.564,                0.51159,                0.13722,                 0.0001,                 0.0001,                 0.0001
                     60,                0.61062,                0.54514,                0.15145,                0.56714,                0.48903,                0.51027,                0.24545,                0.56111,                0.50949,                0.13627,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.6069,                0.54476,                0.15062,                0.57293,                0.49663,                0.52271,                0.25106,                0.55721,                0.50728,                0.13572,                 0.0001,                 0.0001,                 0.0001
                     62,                0.61202,                0.54461,                0.15231,                 0.5922,                0.50066,                0.53004,                0.25477,                0.55281,                0.50449,                0.13492,                 0.0001,                 0.0001,                 0.0001
                     63,                0.60992,                  0.541,                0.15107,                0.58556,                0.51609,                0.53964,                0.25936,                0.54858,                0.50252,                0.13406,                 0.0001,                 0.0001,                 0.0001
                     64,                0.60495,                0.54216,                0.14936,                0.57991,                0.52142,                0.54372,                0.26248,                0.54654,                0.50073,                0.13381,                 0.0001,                 0.0001,                 0.0001
                     65,                0.60618,                0.54067,                 0.1497,                0.58094,                0.53432,                0.55302,                0.26845,                0.54329,                 0.4987,                0.13347,                 0.0001,                 0.0001,                 0.0001
                     66,                0.60276,                0.54128,                0.14813,                  0.593,                0.53903,                0.55456,                 0.2676,                0.54215,                0.49673,                 0.1335,                 0.0001,                 0.0001,                 0.0001
                     67,                0.59994,                0.53554,                0.14625,                 0.6002,                0.53708,                0.55688,                  0.271,                0.53925,                0.49398,                0.13326,                 0.0001,                 0.0001,                 0.0001
                     68,                0.60243,                0.53917,                0.14859,                0.59286,                 0.5506,                0.56561,                0.27434,                0.53693,                0.49117,                0.13332,                 0.0001,                 0.0001,                 0.0001
                     69,                0.60421,                0.54082,                0.15023,                0.58705,                0.55793,                0.56714,                0.27777,                0.53426,                0.48965,                0.13311,                 0.0001,                 0.0001,                 0.0001
                     70,                0.60585,                0.53825,                0.14928,                0.58909,                0.55981,                0.57037,                0.28223,                0.53196,                0.48842,                0.13251,                 0.0001,                 0.0001,                 0.0001
                     71,                0.60081,                   0.54,                 0.1471,                 0.5921,                0.55749,                0.58016,                0.28734,                0.52808,                0.48542,                 0.1321,                 0.0001,                 0.0001,                 0.0001
                     72,                0.60206,                0.54183,                0.14963,                0.60092,                0.55569,                 0.5904,                0.29741,                0.52184,                0.48219,                0.13127,                 0.0001,                 0.0001,                 0.0001
                     73,                0.59644,                0.53641,                0.14666,                0.60686,                0.56685,                0.60486,                0.30953,                0.51778,                0.47966,                0.13059,                 0.0001,                 0.0001,                 0.0001
                     74,                0.59686,                0.53866,                0.14687,                0.63988,                0.56683,                0.60593,                0.31561,                0.51142,                0.47695,                0.12885,                 0.0001,                 0.0001,                 0.0001
                     75,                0.60107,                0.53967,                0.14876,                0.65081,                0.58443,                0.61975,                0.32472,                0.50518,                0.47417,                0.12695,                 0.0001,                 0.0001,                 0.0001
                     76,                0.59236,                0.53614,                0.14551,                0.67772,                0.59469,                 0.6364,                0.33428,                 0.5005,                0.47077,                0.12582,                 0.0001,                 0.0001,                 0.0001
                     77,                0.59226,                0.53086,                0.14479,                0.71762,                0.59515,                0.65607,                 0.3423,                0.49715,                0.46864,                0.12494,                 0.0001,                 0.0001,                 0.0001
                     78,                0.59316,                 0.5344,                0.14493,                0.72529,                 0.5985,                0.66237,                0.34834,                0.49376,                0.46746,                0.12383,                 0.0001,                 0.0001,                 0.0001
                     79,                0.59507,                0.53669,                0.14652,                  0.728,                0.58239,                0.66148,                0.35152,                0.49207,                0.46605,                 0.1231,                 0.0001,                 0.0001,                 0.0001
                     80,                0.59253,                0.53619,                0.14481,                0.72699,                0.59356,                0.66678,                0.35597,                0.48999,                0.46631,                0.12264,                 0.0001,                 0.0001,                 0.0001
                     81,                0.59607,                0.53557,                0.14762,                0.71912,                0.60853,                0.67133,                0.36037,                0.48878,                0.46643,                0.12193,                 0.0001,                 0.0001,                 0.0001
                     82,                0.58891,                0.53273,                0.14401,                 0.7254,                0.61708,                0.67748,                0.36147,                0.48818,                0.46515,                0.12183,                 0.0001,                 0.0001,                 0.0001
                     83,                0.58576,                0.53092,                0.14211,                 0.7223,                0.60592,                0.67493,                  0.359,                0.48804,                0.46465,                0.12206,                 0.0001,                 0.0001,                 0.0001
                     84,                0.59142,                0.53412,                0.14438,                0.73842,                0.60905,                0.67401,                0.36014,                0.48593,                0.46322,                0.12167,                 0.0001,                 0.0001,                 0.0001
                     85,                0.59202,                0.52945,                0.14314,                0.70464,                0.61795,                0.67706,                0.36382,                0.48364,                0.46282,                0.12098,                 0.0001,                 0.0001,                 0.0001
                     86,                 0.5853,                0.53103,                0.14232,                0.75709,                0.61262,                0.68487,                0.36719,                0.47807,                 0.4613,                0.11963,                 0.0001,                 0.0001,                 0.0001
                     87,                0.58348,                0.52824,                0.14111,                0.73448,                0.63237,                0.69024,                0.37001,                0.47602,                0.45972,                0.11929,                 0.0001,                 0.0001,                 0.0001
                     88,                0.57596,                0.52901,                0.13949,                0.73545,                  0.619,                0.69432,                0.37368,                0.47403,                0.45917,                0.11877,                 0.0001,                 0.0001,                 0.0001
                     89,                0.58668,                0.53413,                0.14316,                0.73469,                0.62266,                0.69462,                0.37549,                0.47157,                0.45841,                0.11829,                 0.0001,                 0.0001,                 0.0001
                     90,                0.57825,                0.52623,                0.13856,                0.70555,                0.64054,                0.70125,                0.37622,                0.47055,                  0.457,                 0.1182,                 0.0001,                 0.0001,                 0.0001
                     91,                0.57626,                0.52737,                0.13929,                0.70137,                0.63938,                0.70886,                0.38367,                0.46767,                0.45527,                0.11762,                 0.0001,                 0.0001,                 0.0001
                     92,                0.57653,                 0.5297,                0.14007,                0.72389,                 0.6297,                 0.7115,                0.38724,                0.46651,                0.45385,                0.11732,                 0.0001,                 0.0001,                 0.0001
                     93,                0.58447,                0.53039,                0.14264,                 0.7191,                0.64156,                0.71347,                0.38807,                0.46387,                0.45267,                0.11645,                 0.0001,                 0.0001,                 0.0001
                     94,                0.57434,                0.52771,                0.13895,                0.72206,                0.67071,                0.72456,                0.39695,                0.46002,                0.45136,                 0.1153,                 0.0001,                 0.0001,                 0.0001
                     95,                0.57612,                0.52819,                0.13954,                0.73517,                0.67279,                 0.7294,                0.39881,                0.45881,                0.45029,                0.11507,                 0.0001,                 0.0001,                 0.0001
                     96,                 0.5728,                0.52457,                0.13903,                0.72758,                0.68224,                0.73853,                0.40643,                0.45711,                0.45025,                0.11462,                 0.0001,                 0.0001,                 0.0001
                     97,                0.57185,                0.52179,                0.13745,                0.77483,                0.66046,                0.74828,                0.40876,                0.45603,                0.44864,                 0.1149,                 0.0001,                 0.0001,                 0.0001
                     98,                0.58068,                0.52728,                0.14287,                0.74794,                0.67171,                0.74791,                0.41204,                0.45603,                0.44785,                0.11476,                 0.0001,                 0.0001,                 0.0001
                     99,                0.57629,                0.52671,                0.13984,                0.77043,                0.67089,                0.74976,                0.41653,                0.45352,                0.44599,                0.11384,                 0.0001,                 0.0001,                 0.0001
                    100,                0.57343,                0.52231,                0.13774,                0.75082,                0.68564,                0.75488,                0.41665,                0.45257,                0.44664,                0.11333,                 0.0001,                 0.0001,                 0.0001
                    101,                0.57585,                0.52523,                   0.14,                0.74857,                0.68623,                 0.7512,                 0.4138,                0.45283,                0.44622,                0.11356,                 0.0001,                 0.0001,                 0.0001
                    102,                0.56577,                0.52113,                0.13665,                0.76943,                0.68568,                0.75448,                0.40775,                0.45365,                 0.4467,                0.11352,                 0.0001,                 0.0001,                 0.0001
                    103,                0.56583,                0.52065,                0.13585,                0.77976,                0.67439,                0.75412,                 0.4067,                0.45486,                0.44598,                0.11373,                 0.0001,                 0.0001,                 0.0001
                    104,                0.56538,                0.52141,                0.13579,                0.77393,                0.68667,                0.75499,                0.40681,                0.45558,                0.44518,                0.11356,                 0.0001,                 0.0001,                 0.0001
                    105,                0.57302,                0.52108,                0.13963,                0.77475,                0.69011,                0.75339,                0.40837,                0.45537,                0.44376,                0.11344,                 0.0001,                 0.0001,                 0.0001
                    106,                0.56047,                0.51794,                0.13427,                0.77049,                0.69392,                0.75889,                0.41195,                0.45297,                0.44235,                 0.1125,                 0.0001,                 0.0001,                 0.0001
                    107,                0.56382,                0.52037,                0.13642,                0.78022,                0.69368,                0.76024,                0.41507,                0.45077,                0.44014,                0.11195,                 0.0001,                 0.0001,                 0.0001
                    108,                0.56485,                 0.5178,                0.13584,                0.76248,                0.69068,                0.75673,                0.42143,                0.45011,                0.43868,                0.11157,                 0.0001,                 0.0001,                 0.0001
                    109,                0.56555,                0.52088,                0.13731,                0.77625,                0.69126,                0.77003,                0.42655,                0.44953,                 0.4387,                0.11088,                 0.0001,                 0.0001,                 0.0001
                    110,                0.56852,                0.52155,                0.13736,                0.77959,                0.69053,                0.77546,                0.42867,                0.45233,                0.43839,                0.11113,                 0.0001,                 0.0001,                 0.0001
                    111,                0.56476,                0.52299,                0.13606,                0.79902,                0.69033,                0.77895,                0.42763,                0.44942,                0.43801,                0.11064,                 0.0001,                 0.0001,                 0.0001
                    112,                0.56314,                0.51859,                0.13633,                0.77081,                0.69825,                0.76714,                0.42516,                0.45046,                0.43811,                0.11041,                 0.0001,                 0.0001,                 0.0001
                    113,                0.56235,                0.51663,                0.13602,                0.77799,                0.69997,                0.77121,                0.42382,                0.45235,                0.43809,                0.11078,                 0.0001,                 0.0001,                 0.0001
                    114,                0.56146,                0.51472,                0.13475,                 0.7777,                 0.7186,                0.77847,                0.42926,                0.45255,                0.43764,                 0.1109,                 0.0001,                 0.0001,                 0.0001
                    115,                0.56285,                0.52062,                0.13549,                0.79088,                0.71379,                0.78341,                0.43417,                0.44964,                0.43602,                0.11044,                 0.0001,                 0.0001,                 0.0001
                    116,                0.55814,                0.51898,                0.13533,                0.77852,                 0.7222,                0.78388,                0.43266,                0.44751,                0.43475,                0.11026,                 0.0001,                 0.0001,                 0.0001
                    117,                0.56015,                0.52045,                0.13623,                0.77468,                0.72765,                0.78475,                0.43586,                0.44894,                0.43453,                0.11022,                 0.0001,                 0.0001,                 0.0001
                    118,                0.55248,                0.51525,                0.13216,                0.78322,                0.72953,                0.78623,                0.43461,                0.44615,                0.43312,                0.10944,                 0.0001,                 0.0001,                 0.0001
                    119,                0.55385,                0.51461,                0.13255,                0.79524,                0.72535,                0.79296,                0.43828,                0.44234,                0.43125,                0.10848,                 0.0001,                 0.0001,                 0.0001
                    120,                0.55582,                0.51833,                0.13373,                 0.8026,                0.72056,                0.79162,                0.43894,                0.43932,                0.43006,                0.10733,                 0.0001,                 0.0001,                 0.0001
                    121,                0.55673,                0.51969,                0.13368,                0.80041,                0.72639,                0.79215,                 0.4458,                0.43711,                0.42929,                0.10682,                 0.0001,                 0.0001,                 0.0001
                    122,                0.55601,                0.52076,                0.13361,                0.80333,                0.71555,                0.79339,                0.44698,                0.43338,                0.42854,                0.10607,                 0.0001,                 0.0001,                 0.0001
                    123,                0.55148,                0.51721,                0.13181,                0.79803,                 0.7226,                0.79571,                0.45174,                0.43036,                0.42682,                0.10517,                 0.0001,                 0.0001,                 0.0001
                    124,                0.54815,                0.51529,                0.13147,                0.80062,                0.73081,                0.80284,                  0.455,                0.42693,                0.42564,                0.10425,                 0.0001,                 0.0001,                 0.0001
                    125,                0.54435,                0.50958,                0.12902,                0.78843,                0.73441,                0.80467,                0.45805,                0.42484,                 0.4253,                0.10393,                 0.0001,                 0.0001,                 0.0001
                    126,                0.55146,                0.51502,                0.13239,                 0.7942,                0.74259,                0.81316,                0.46293,                0.42246,                0.42375,                 0.1037,                 0.0001,                 0.0001,                 0.0001
                    127,                0.54937,                0.51529,                0.13172,                0.80927,                0.73737,                0.81518,                0.46399,                0.42002,                0.42268,                0.10315,                 0.0001,                 0.0001,                 0.0001
                    128,                 0.5456,                0.51179,                0.13084,                0.80491,                0.74285,                0.81241,                0.46314,                0.42015,                0.42196,                0.10282,                 0.0001,                 0.0001,                 0.0001
                    129,                 0.5427,                0.51157,                0.13049,                0.79857,                0.73146,                0.80904,                0.46661,                0.42204,                0.42341,                0.10259,                 0.0001,                 0.0001,                 0.0001
                    130,                0.54016,                0.51003,                 0.1292,                0.78872,                0.73194,                0.80955,                0.46335,                0.42412,                 0.4235,                0.10247,                 0.0001,                 0.0001,                 0.0001
                    131,                0.53895,                0.51381,                0.12864,                0.77403,                0.74817,                0.81752,                0.46422,                0.42639,                0.42392,                0.10242,                 0.0001,                 0.0001,                 0.0001
                    132,                0.53653,                 0.5107,                0.12809,                0.80647,                0.73954,                0.82146,                0.46675,                 0.4289,                0.42396,                0.10265,                 0.0001,                 0.0001,                 0.0001
                    133,                0.54165,                0.51078,                0.12976,                0.83369,                0.72796,                0.82585,                0.46997,                0.42774,                0.42365,                 0.1024,                 0.0001,                 0.0001,                 0.0001
                    134,                0.53834,                0.51054,                0.12882,                0.85609,                0.71964,                0.82447,                0.47016,                0.42679,                0.42196,                0.10238,                 0.0001,                 0.0001,                 0.0001
                    135,                0.54186,                0.51234,                0.13012,                0.84674,                0.71932,                0.82288,                0.47296,                0.42207,                0.41911,                0.10162,                 0.0001,                 0.0001,                 0.0001
                    136,                0.53673,                0.50873,                0.12719,                0.82862,                0.72591,                0.82143,                0.47556,                0.41776,                0.41772,                0.10083,                 0.0001,                 0.0001,                 0.0001
                    137,                 0.5385,                0.51111,                0.12827,                0.82871,                0.73957,                0.83101,                0.47556,                0.41745,                0.41816,                0.10086,                 0.0001,                 0.0001,                 0.0001
                    138,                0.53471,                0.51071,                0.12763,                0.82835,                0.74536,                0.83061,                0.47834,                0.41646,                0.41734,                0.10062,                 0.0001,                 0.0001,                 0.0001
                    139,                0.53257,                0.50938,                0.12634,                0.84471,                0.74864,                0.84259,                0.48169,                0.41533,                0.41684,                0.09999,                 0.0001,                 0.0001,                 0.0001
                    140,                0.53633,                0.50989,                0.12927,                0.83207,                0.77251,                0.84933,                0.47902,                 0.4167,                0.41778,                0.09981,                 0.0001,                 0.0001,                 0.0001
                    141,                0.53443,                0.50826,                0.12839,                0.84796,                0.77646,                0.85228,                0.47562,                 0.4229,                0.41996,                0.09995,                 0.0001,                 0.0001,                 0.0001
