                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65862,                0.57718,                0.17026,                0.22296,                0.24973,                 0.2131,                0.08599,                0.69068,                 0.6003,                0.18062,                 0.0001,                 0.0001,                 0.0001
                     37,                0.65289,                0.57772,                0.16881,                0.22532,                0.24702,                0.21511,                0.08899,                 0.6858,                0.59766,                0.17934,                 0.0001,                 0.0001,                 0.0001
                     38,                 0.6518,                0.57403,                0.16685,                0.48674,                0.25563,                0.27144,                0.11619,                0.68182,                0.59554,                0.17768,                 0.0001,                 0.0001,                 0.0001
                     39,                0.64596,                0.57423,                0.16481,                 0.4965,                0.25514,                0.29461,                0.12338,                0.67585,                0.59519,                0.17577,                 0.0001,                 0.0001,                 0.0001
                     40,                0.64066,                0.57504,                0.16236,                0.48942,                0.25755,                0.27276,                0.11298,                0.67108,                0.59343,                0.17408,                 0.0001,                 0.0001,                 0.0001
                     41,                0.63403,                0.56764,                0.15988,                0.45829,                0.26033,                0.25013,                0.10466,                0.66715,                0.59171,                0.17218,                 0.0001,                 0.0001,                 0.0001
                     42,                0.63739,                0.56903,                0.16223,                0.47536,                0.27093,                0.25694,                0.10527,                0.66218,                0.58928,                0.17034,                 0.0001,                 0.0001,                 0.0001
                     43,                0.64235,                0.56244,                0.16414,                0.30453,                0.28319,                0.25334,                0.10403,                0.65953,                0.58669,                0.16918,                 0.0001,                 0.0001,                 0.0001
                     44,                0.62855,                 0.5592,                0.15695,                0.28645,                0.29444,                0.26426,                0.10729,                0.65639,                0.58563,                0.16744,                 0.0001,                 0.0001,                 0.0001
                     45,                 0.6344,                0.55758,                0.16068,                0.33569,                0.29551,                 0.2677,                0.11087,                 0.6519,                 0.5842,                0.16544,                 0.0001,                 0.0001,                 0.0001
                     46,                 0.6273,                0.55865,                0.15901,                0.33722,                0.30757,                0.26733,                0.11122,                0.64895,                0.58228,                0.16381,                 0.0001,                 0.0001,                 0.0001
                     47,                0.62429,                0.55481,                 0.1566,                0.34736,                0.30381,                0.27207,                 0.1144,                 0.6435,                0.58031,                 0.1618,                 0.0001,                 0.0001,                 0.0001
                     48,                0.62067,                0.55479,                0.15398,                0.36151,                0.30634,                 0.2754,                0.11602,                0.64096,                0.57577,                0.16011,                 0.0001,                 0.0001,                 0.0001
                     49,                 0.6221,                0.54962,                0.15664,                0.36667,                0.30855,                0.27687,                0.11848,                0.63599,                0.57136,                0.15782,                 0.0001,                 0.0001,                 0.0001
                     50,                0.63238,                 0.5556,                 0.1616,                0.36241,                0.31571,                0.27624,                0.11991,                0.63255,                0.56874,                0.15635,                 0.0001,                 0.0001,                 0.0001
                     51,                0.61234,                0.55385,                0.15274,                0.37675,                0.31841,                0.28304,                 0.1234,                0.62786,                0.56492,                0.15456,                 0.0001,                 0.0001,                 0.0001
                     52,                0.61476,                0.55304,                0.15423,                0.37609,                0.33421,                0.29538,                0.12763,                0.62123,                0.56128,                0.15265,                 0.0001,                 0.0001,                 0.0001
                     53,                 0.6042,                0.54574,                0.14824,                0.38077,                0.33819,                0.29751,                0.13122,                0.61744,                0.55815,                0.15111,                 0.0001,                 0.0001,                 0.0001
                     54,                0.60966,                0.54499,                0.15392,                0.37451,                0.33787,                0.30561,                0.13512,                0.61277,                 0.5564,                0.14943,                 0.0001,                 0.0001,                 0.0001
                     55,                0.60146,                0.54885,                0.14911,                0.39384,                0.34247,                0.31411,                 0.1396,                0.60886,                0.55323,                0.14796,                 0.0001,                 0.0001,                 0.0001
                     56,                0.60178,                0.54732,                0.14857,                0.38271,                0.35207,                0.32406,                0.14368,                0.60294,                0.55068,                0.14623,                 0.0001,                 0.0001,                 0.0001
                     57,                0.60698,                0.54036,                0.15077,                  0.407,                0.35132,                0.32891,                0.14761,                0.59996,                0.54667,                0.14496,                 0.0001,                 0.0001,                 0.0001
                     58,                0.59957,                0.54043,                0.14813,                0.41613,                0.34704,                0.33315,                0.15003,                0.59506,                 0.5443,                0.14347,                 0.0001,                 0.0001,                 0.0001
                     59,                 0.5938,                 0.5389,                0.14601,                0.42981,                0.34774,                0.33694,                0.15247,                0.59312,                0.53927,                0.14267,                 0.0001,                 0.0001,                 0.0001
                     60,                0.58972,                0.53906,                 0.1439,                0.43755,                0.36393,                0.35139,                0.16018,                0.58837,                0.53428,                0.14097,                 0.0001,                 0.0001,                 0.0001
                     61,                0.59273,                0.54012,                0.14671,                0.47007,                0.36717,                0.36258,                0.16641,                0.58396,                0.53165,                0.13959,                 0.0001,                 0.0001,                 0.0001
                     62,                 0.5938,                0.53854,                0.14638,                 0.4793,                0.37688,                0.37381,                0.17176,                 0.5787,                 0.5298,                 0.1382,                 0.0001,                 0.0001,                 0.0001
                     63,                0.58593,                0.53325,                0.14339,                0.47342,                0.39652,                0.38875,                0.17827,                0.57734,                0.52564,                0.13724,                 0.0001,                 0.0001,                 0.0001
                     64,                0.58343,                0.53378,                0.14317,                0.47375,                0.39881,                0.39853,                0.18303,                0.57476,                0.52336,                0.13606,                 0.0001,                 0.0001,                 0.0001
                     65,                0.58355,                0.53356,                0.14237,                0.47723,                0.40842,                0.41117,                0.19085,                0.56867,                0.52134,                 0.1346,                 0.0001,                 0.0001,                 0.0001
                     66,                0.58531,                0.53488,                0.14383,                 0.4828,                0.42042,                0.42302,                0.19716,                0.57184,                0.51936,                0.13435,                 0.0001,                 0.0001,                 0.0001
                     67,                 0.5758,                 0.5285,                0.13879,                0.48401,                0.42561,                0.43256,                0.20329,                0.56922,                0.51771,                0.13369,                 0.0001,                 0.0001,                 0.0001
                     68,                0.57414,                0.53511,                0.13939,                0.47412,                0.44882,                0.43953,                0.20959,                0.56465,                0.51472,                0.13258,                 0.0001,                 0.0001,                 0.0001
                     69,                0.58058,                0.53414,                0.14288,                0.47121,                 0.4686,                0.45217,                0.21932,                0.56007,                0.51135,                0.13139,                 0.0001,                 0.0001,                 0.0001
                     70,                0.57347,                0.52886,                0.13915,                0.49766,                0.47308,                0.46845,                0.22759,                0.55558,                0.50853,                0.13012,                 0.0001,                 0.0001,                 0.0001
                     71,                0.57201,                0.52536,                0.13854,                0.50362,                0.47712,                0.47513,                0.23434,                0.54655,                0.50465,                0.12885,                 0.0001,                 0.0001,                 0.0001
                     72,                0.57075,                0.52971,                 0.1406,                0.52103,                0.49147,                0.49054,                0.24359,                0.54008,                0.50304,                0.12729,                 0.0001,                 0.0001,                 0.0001
                     73,                0.56766,                0.52354,                0.13747,                0.52952,                0.49471,                 0.4986,                0.24873,                0.53434,                0.50031,                0.12593,                 0.0001,                 0.0001,                 0.0001
                     74,                0.56983,                0.52375,                0.13877,                 0.5156,                0.51848,                0.51443,                0.25761,                0.53047,                0.49981,                0.12478,                 0.0001,                 0.0001,                 0.0001
                     75,                0.56792,                0.52922,                0.13883,                0.53431,                0.52939,                0.52854,                0.26472,                  0.527,                0.49943,                0.12368,                 0.0001,                 0.0001,                 0.0001
                     76,                0.56892,                0.51695,                0.13915,                0.51962,                0.53494,                0.53782,                0.27177,                0.52333,                0.49637,                0.12257,                 0.0001,                 0.0001,                 0.0001
                     77,                0.56272,                0.51939,                0.13618,                0.53683,                 0.5528,                0.54836,                0.27508,                0.52047,                0.49689,                0.12199,                 0.0001,                 0.0001,                 0.0001
                     78,                0.56171,                0.52356,                0.13576,                 0.5502,                0.55613,                0.56078,                0.28277,                0.51657,                0.49542,                0.12122,                 0.0001,                 0.0001,                 0.0001
                     79,                 0.5634,                0.52538,                0.13713,                0.56893,                0.54668,                0.56647,                0.28915,                0.51107,                 0.4937,                0.12063,                 0.0001,                 0.0001,                 0.0001
                     80,                0.56085,                0.52406,                0.13545,                0.57597,                0.54897,                0.57492,                0.29558,                0.50339,                0.49075,                0.11915,                 0.0001,                 0.0001,                 0.0001
                     81,                0.55815,                 0.5252,                0.13628,                0.58186,                 0.5551,                0.58165,                0.29852,                0.49865,                0.48908,                0.11789,                 0.0001,                 0.0001,                 0.0001
                     82,                0.55101,                0.51864,                0.13346,                0.59683,                0.55372,                0.59016,                0.30523,                0.49221,                0.48543,                0.11685,                 0.0001,                 0.0001,                 0.0001
                     83,                 0.5487,                 0.5193,                0.13102,                0.59405,                0.57004,                0.59832,                0.31355,                0.48723,                0.48216,                0.11591,                 0.0001,                 0.0001,                 0.0001
                     84,                 0.5546,                0.52099,                0.13421,                0.60593,                0.57387,                0.61034,                0.32102,                0.48321,                0.48073,                0.11493,                 0.0001,                 0.0001,                 0.0001
                     85,                0.55035,                0.51386,                0.13165,                0.61778,                0.58139,                0.61963,                0.32661,                0.48155,                0.47994,                0.11434,                 0.0001,                 0.0001,                 0.0001
                     86,                0.54858,                 0.5161,                0.13267,                0.60956,                0.60947,                0.62739,                0.33537,                0.47803,                 0.4779,                0.11363,                 0.0001,                 0.0001,                 0.0001
                     87,                0.54056,                0.51631,                 0.1291,                 0.6478,                0.60936,                0.63876,                0.34477,                0.47267,                0.47618,                0.11257,                 0.0001,                 0.0001,                 0.0001
                     88,                0.54704,                0.51394,                 0.1326,                0.65043,                0.61284,                0.64992,                0.35164,                0.46892,                0.47402,                0.11185,                 0.0001,                 0.0001,                 0.0001
                     89,                0.54821,                0.51582,                0.13291,                0.67476,                0.61265,                0.66245,                0.36117,                0.46733,                0.47242,                0.11125,                 0.0001,                 0.0001,                 0.0001
                     90,                0.54288,                 0.5117,                0.12933,                0.69244,                0.62154,                0.67396,                0.36725,                0.46487,                0.46968,                0.11031,                 0.0001,                 0.0001,                 0.0001
                     91,                 0.5417,                0.51251,                0.12929,                0.72895,                0.61988,                0.67961,                0.37279,                 0.4638,                0.46808,                0.11008,                 0.0001,                 0.0001,                 0.0001
                     92,                0.53876,                0.51404,                0.12977,                0.73264,                0.62827,                0.69186,                0.37815,                0.46369,                0.46738,                0.10984,                 0.0001,                 0.0001,                 0.0001
                     93,                0.54603,                0.51313,                 0.1325,                0.73306,                0.63616,                0.69674,                0.38477,                0.46168,                0.46653,                0.10935,                 0.0001,                 0.0001,                 0.0001
                     94,                0.54113,                0.51165,                 0.1311,                0.74257,                0.64172,                0.70751,                0.39176,                0.45738,                  0.464,                0.10867,                 0.0001,                 0.0001,                 0.0001
                     95,                0.53665,                0.51352,                0.12878,                0.74003,                0.64818,                0.70986,                0.39244,                0.45577,                0.46247,                0.10811,                 0.0001,                 0.0001,                 0.0001
                     96,                0.53595,                0.51124,                0.12889,                0.74666,                0.65561,                0.71999,                0.40177,                0.45462,                0.46082,                0.10785,                 0.0001,                 0.0001,                 0.0001
                     97,                 0.5327,                0.50705,                0.12624,                0.74937,                0.66383,                0.72605,                0.40766,                0.45116,                0.45891,                0.10743,                 0.0001,                 0.0001,                 0.0001
                     98,                 0.5407,                0.51446,                0.13081,                 0.7436,                0.66941,                0.73476,                0.41467,                0.44741,                0.45768,                0.10676,                 0.0001,                 0.0001,                 0.0001
                     99,                0.53676,                0.51491,                 0.1289,                0.75115,                0.67438,                0.73883,                0.41761,                0.44392,                0.45591,                0.10634,                 0.0001,                 0.0001,                 0.0001
                    100,                0.52888,                0.50455,                 0.1258,                0.75633,                0.68353,                0.74744,                0.41962,                0.44125,                0.45532,                0.10569,                 0.0001,                 0.0001,                 0.0001
                    101,                0.53874,                0.49995,                 0.1302,                 0.7524,                0.68045,                0.74202,                0.41983,                0.43934,                0.45412,                0.10492,                 0.0001,                 0.0001,                 0.0001
                    102,                 0.5355,                  0.499,                0.13057,                0.73743,                0.68861,                0.74542,                0.42159,                0.43875,                0.45381,                0.10443,                 0.0001,                 0.0001,                 0.0001
                    103,                0.52629,                0.50387,                0.12538,                0.76659,                0.69729,                0.74802,                0.42679,                0.43598,                0.45187,                0.10368,                 0.0001,                 0.0001,                 0.0001
                    104,                0.52319,                0.50205,                0.12498,                0.77011,                0.69101,                0.75159,                0.42698,                 0.4356,                0.45176,                0.10329,                 0.0001,                 0.0001,                 0.0001
                    105,                0.53365,                0.50361,                0.12895,                0.77386,                0.70659,                0.76086,                0.43166,                0.43329,                0.44982,                0.10286,                 0.0001,                 0.0001,                 0.0001
                    106,                0.52014,                0.50138,                 0.1239,                0.76654,                0.70245,                0.75978,                0.43244,                0.43186,                0.44882,                0.10257,                 0.0001,                 0.0001,                 0.0001
                    107,                0.52423,                0.50445,                0.12592,                0.78149,                0.71216,                0.77068,                0.43545,                 0.4283,                0.44738,                0.10207,                 0.0001,                 0.0001,                 0.0001
                    108,                0.52011,                0.50406,                0.12343,                0.77142,                0.73314,                0.77939,                0.43981,                0.42655,                0.44553,                 0.1016,                 0.0001,                 0.0001,                 0.0001
                    109,                 0.5236,                0.50323,                0.12619,                 0.7725,                0.72753,                0.77908,                   0.44,                0.42598,                0.44449,                0.10131,                 0.0001,                 0.0001,                 0.0001
                    110,                0.52286,                0.50245,                0.12529,                0.77476,                0.71833,                0.77926,                0.44406,                0.42659,                0.44397,                0.10129,                 0.0001,                 0.0001,                 0.0001
                    111,                0.51818,                0.50614,                0.12303,                0.77189,                0.72268,                0.78171,                0.44681,                0.42336,                0.44241,                0.10074,                 0.0001,                 0.0001,                 0.0001
                    112,                 0.5234,                0.50156,                 0.1252,                 0.7757,                0.72568,                0.78498,                0.45162,                0.42353,                0.44181,                0.10086,                 0.0001,                 0.0001,                 0.0001
                    113,                 0.5219,                0.49946,                0.12482,                0.77683,                0.73009,                0.78773,                0.45424,                0.42404,                0.44143,                0.10097,                 0.0001,                 0.0001,                 0.0001
                    114,                0.51732,                0.49499,                0.12311,                0.79439,                0.72111,                0.79262,                0.45666,                0.42336,                 0.4407,                0.10051,                 0.0001,                 0.0001,                 0.0001
                    115,                 0.5195,                 0.4989,                0.12453,                0.78212,                0.72743,                0.79293,                0.45981,                0.42458,                0.44003,                0.10059,                 0.0001,                 0.0001,                 0.0001
                    116,                0.51721,                0.49692,                0.12452,                0.80915,                0.71259,                0.79528,                0.46117,                0.42271,                0.43823,                 0.1002,                 0.0001,                 0.0001,                 0.0001
                    117,                0.52405,                0.49407,                0.12662,                0.80644,                0.71848,                0.79355,                0.46187,                0.42158,                 0.4371,                0.10003,                 0.0001,                 0.0001,                 0.0001
                    118,                0.51769,                0.49494,                0.12457,                0.80395,                0.72125,                0.80059,                0.46389,                0.42365,                0.43675,                 0.1002,                 0.0001,                 0.0001,                 0.0001
                    119,                0.50976,                0.49296,                0.12073,                0.80395,                0.72379,                0.80244,                0.46623,                0.42071,                0.43545,                0.09965,                 0.0001,                 0.0001,                 0.0001
                    120,                0.51399,                0.49743,                0.12278,                0.80212,                0.73426,                 0.8095,                0.47466,                0.41767,                0.43417,                0.09923,                 0.0001,                 0.0001,                 0.0001
                    121,                0.51251,                0.49757,                0.12275,                0.80161,                0.74041,                0.81438,                0.47968,                0.41586,                0.43212,                0.09916,                 0.0001,                 0.0001,                 0.0001
                    122,                0.51519,                0.49873,                0.12269,                0.79761,                0.75301,                 0.8206,                0.48215,                0.41153,                0.42959,                0.09857,                 0.0001,                 0.0001,                 0.0001
                    123,                0.50991,                  0.492,                0.12153,                 0.8105,                0.74041,                0.81992,                0.48451,                0.41176,                0.42927,                0.09855,                 0.0001,                 0.0001,                 0.0001
                    124,                0.51165,                0.49024,                0.12252,                0.80317,                0.74193,                0.82109,                0.48371,                 0.4097,                0.42847,                0.09801,                 0.0001,                 0.0001,                 0.0001
                    125,                0.50331,                0.48399,                0.11863,                0.81377,                0.74579,                0.82347,                0.48433,                0.40872,                0.42858,                0.09763,                 0.0001,                 0.0001,                 0.0001
                    126,                0.51836,                0.48986,                0.12431,                0.81273,                0.74769,                0.82361,                0.48837,                0.40725,                0.42713,                 0.0972,                 0.0001,                 0.0001,                 0.0001
                    127,                0.50898,                0.49015,                0.12084,                0.80392,                0.75166,                 0.8273,                0.48752,                0.40851,                0.42724,                0.09697,                 0.0001,                 0.0001,                 0.0001
                    128,                 0.5017,                0.48907,                0.11936,                0.79932,                0.75581,                0.82615,                0.48465,                0.41113,                 0.4287,                0.09722,                 0.0001,                 0.0001,                 0.0001
                    129,                0.50123,                0.49023,                 0.1194,                0.79798,                0.75648,                0.83041,                0.48264,                0.41399,                0.42954,                 0.0977,                 0.0001,                 0.0001,                 0.0001
                    130,                0.50077,                 0.4884,                0.11866,                0.79355,                 0.7654,                0.83231,                0.48427,                0.41218,                0.42897,                0.09721,                 0.0001,                 0.0001,                 0.0001
                    131,                 0.5014,                 0.4905,                0.11924,                0.79897,                0.76491,                0.83374,                0.48583,                0.41454,                0.42939,                0.09722,                 0.0001,                 0.0001,                 0.0001
                    132,                  0.508,                0.48743,                0.12191,                0.80409,                0.76288,                0.83402,                0.49084,                0.41003,                0.42745,                0.09651,                 0.0001,                 0.0001,                 0.0001
                    133,                0.50226,                0.49009,                0.11972,                0.80991,                0.75551,                0.83551,                0.48876,                0.40954,                 0.4269,                0.09632,                 0.0001,                 0.0001,                 0.0001
                    134,                0.49769,                0.48654,                0.11878,                0.82721,                0.75445,                0.83725,                0.49586,                0.40677,                0.42455,                0.09586,                 0.0001,                 0.0001,                 0.0001
                    135,                0.50107,                0.48707,                0.12017,                0.82316,                0.75756,                0.84199,                0.49528,                0.40575,                0.42298,                0.09565,                 0.0001,                 0.0001,                 0.0001
                    136,                0.49354,                0.48652,                0.11647,                0.82002,                0.75608,                0.84179,                0.49753,                0.40486,                0.42252,                0.09531,                 0.0001,                 0.0001,                 0.0001
                    137,                0.49218,                0.48478,                0.11664,                0.81273,                0.76746,                0.84545,                0.49717,                 0.4073,                  0.423,                0.09544,                 0.0001,                 0.0001,                 0.0001
                    138,                0.49195,                0.48925,                0.11702,                0.81636,                  0.772,                0.84901,                0.49636,                0.40669,                0.42233,                0.09507,                 0.0001,                 0.0001,                 0.0001
                    139,                  0.491,                0.48263,                 0.1162,                0.81718,                0.77788,                0.84507,                0.49996,                0.40393,                0.42161,                0.09476,                 0.0001,                 0.0001,                 0.0001
                    140,                0.49887,                0.48726,                0.11962,                 0.8104,                0.78236,                0.84744,                 0.5016,                0.40285,                0.42088,                0.09473,                 0.0001,                 0.0001,                 0.0001
                    141,                 0.4927,                0.48555,                0.11699,                0.81166,                0.77939,                0.84204,                 0.4965,                0.40784,                 0.4228,                0.09511,                 0.0001,                 0.0001,                 0.0001
                    142,                0.49082,                0.48326,                0.11596,                0.82884,                0.78439,                 0.8526,                0.50284,                0.39968,                0.42053,                0.09384,                 0.0001,                 0.0001,                 0.0001
                    143,                0.48624,                0.47782,                0.11544,                0.83017,                0.78202,                0.85356,                0.50642,                0.39462,                 0.4194,                0.09335,                 0.0001,                 0.0001,                 0.0001
                    144,                0.49218,                0.48353,                0.11801,                0.83973,                0.78174,                0.85491,                 0.5101,                0.38906,                0.41813,                0.09274,                 0.0001,                 0.0001,                 0.0001
                    145,                0.48395,                0.47752,                0.11378,                 0.8376,                 0.7802,                0.85644,                 0.5099,                0.38727,                0.41821,                0.09252,                 0.0001,                 0.0001,                 0.0001
                    146,                0.49788,                0.48487,                0.12016,                0.84175,                0.78597,                0.85732,                 0.5115,                0.38474,                0.41686,                0.09228,                 0.0001,                 0.0001,                 0.0001
                    147,                0.49151,                  0.482,                0.11785,                0.84161,                0.78297,                0.85722,                0.51684,                0.38102,                0.41558,                0.09185,                 0.0001,                 0.0001,                 0.0001
                    148,                0.48188,                0.47792,                 0.1149,                0.83771,                0.78758,                0.86122,                0.52261,                0.37928,                0.41425,                0.09126,                 0.0001,                 0.0001,                 0.0001
                    149,                0.48687,                0.48038,                0.11554,                0.83106,                0.79135,                  0.859,                0.52379,                0.37497,                0.41272,                0.09061,                 0.0001,                 0.0001,                 0.0001
                    150,                0.47906,                0.47387,                0.11265,                0.84714,                0.79374,                0.86652,                0.53015,                0.37245,                0.41124,                0.09013,                 0.0001,                 0.0001,                 0.0001
                    151,                0.48571,                0.47754,                0.11535,                0.84926,                0.79821,                0.87043,                0.52944,                0.37588,                0.41247,                0.09052,                 0.0001,                 0.0001,                 0.0001
                    152,                0.48119,                 0.4804,                0.11377,                0.86627,                0.79743,                 0.8699,                0.53141,                 0.3731,                0.41118,                0.08994,                 0.0001,                 0.0001,                 0.0001
                    153,                0.48072,                0.47788,                0.11456,                0.85972,                0.79311,                0.87233,                0.52959,                0.37632,                0.41207,                0.08998,                 0.0001,                 0.0001,                 0.0001
                    154,                0.47935,                0.47794,                0.11336,                0.85496,                 0.8091,                0.87264,                0.53238,                0.37495,                0.41005,                0.08966,                 0.0001,                 0.0001,                 0.0001
                    155,                0.48519,                0.47952,                 0.1148,                 0.8498,                0.80269,                0.87613,                0.53512,                 0.3729,                0.40884,                0.08935,                 0.0001,                 0.0001,                 0.0001
