                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84787,                0.57027,                0.15866,                0.41996,                0.28444,                0.27704,                0.13033,                0.81119,                0.60154,                0.15297,                 0.0001,                 0.0001,                 0.0001
                     37,                0.84467,                0.57227,                0.15877,                0.40058,                0.28975,                 0.2824,                0.13405,                 0.8045,                0.59486,                0.15133,                 0.0001,                 0.0001,                 0.0001
                     38,                0.84234,                0.56635,                  0.157,                0.41141,                0.29222,                0.29337,                0.14021,                0.79828,                0.58985,                0.14965,                 0.0001,                 0.0001,                 0.0001
                     39,                0.83292,                0.56057,                0.15349,                0.41702,                0.30708,                0.30711,                0.14587,                0.79231,                0.58476,                0.14798,                 0.0001,                 0.0001,                 0.0001
                     40,                0.83114,                0.56051,                0.15239,                0.41934,                0.31695,                0.31502,                0.15072,                0.78645,                0.57933,                0.14675,                 0.0001,                 0.0001,                 0.0001
                     41,                0.82511,                0.55716,                0.15119,                0.40202,                0.31935,                0.32196,                0.15714,                0.78074,                0.57388,                0.14512,                 0.0001,                 0.0001,                 0.0001
                     42,                0.82652,                0.55737,                 0.1527,                  0.439,                0.34509,                0.33464,                0.16405,                0.77354,                0.56775,                0.14378,                 0.0001,                 0.0001,                 0.0001
                     43,                0.82399,                0.55158,                0.15137,                 0.4516,                0.34788,                0.34769,                0.17163,                0.76751,                0.56302,                0.14225,                 0.0001,                 0.0001,                 0.0001
                     44,                0.81162,                0.55207,                0.14755,                0.46999,                0.35604,                0.36112,                0.18054,                 0.7625,                0.55896,                 0.1406,                 0.0001,                 0.0001,                 0.0001
                     45,                0.81845,                0.55139,                 0.1499,                0.49649,                0.36482,                0.37427,                0.18904,                0.75475,                0.55353,                0.13853,                 0.0001,                 0.0001,                 0.0001
                     46,                0.81893,                0.55249,                0.15124,                0.51865,                0.37641,                0.39059,                0.19684,                0.74793,                0.54934,                0.13648,                 0.0001,                 0.0001,                 0.0001
                     47,                0.80294,                0.54461,                0.14537,                0.52863,                0.39152,                0.40364,                0.20647,                 0.7395,                0.54423,                0.13432,                 0.0001,                 0.0001,                 0.0001
                     48,                0.80599,                0.54378,                 0.1458,                0.54695,                 0.4109,                0.42322,                0.21876,                  0.734,                0.53855,                0.13234,                 0.0001,                 0.0001,                 0.0001
                     49,                0.80324,                0.54555,                0.14593,                0.56037,                0.43285,                 0.4483,                0.23372,                0.72611,                0.53343,                0.13011,                 0.0001,                 0.0001,                 0.0001
                     50,                0.80389,                0.54686,                0.14687,                0.56922,                0.44675,                0.47016,                0.24428,                0.71888,                0.52765,                0.12809,                 0.0001,                 0.0001,                 0.0001
                     51,                0.79945,                0.54441,                0.14495,                0.59758,                0.45782,                0.48665,                0.25535,                 0.7103,                 0.5247,                0.12626,                 0.0001,                 0.0001,                 0.0001
                     52,                0.80135,                0.54332,                 0.1463,                0.59205,                0.46613,                0.49768,                0.26302,                0.70493,                0.51933,                0.12495,                 0.0001,                 0.0001,                 0.0001
                     53,                0.79192,                0.53611,                0.14327,                0.57775,                0.48133,                0.50807,                0.27038,                0.69762,                0.51619,                0.12344,                 0.0001,                 0.0001,                 0.0001
                     54,                0.78844,                0.54102,                0.14299,                0.58316,                0.48613,                0.51747,                0.28019,                0.68984,                0.51174,                0.12189,                 0.0001,                 0.0001,                 0.0001
                     55,                0.78693,                0.53759,                 0.1421,                0.57863,                0.49853,                0.52593,                0.28701,                0.68434,                0.50836,                0.12024,                 0.0001,                 0.0001,                 0.0001
                     56,                0.78388,                0.53611,                0.14105,                0.60874,                0.50161,                0.53852,                0.29388,                0.67623,                0.50502,                0.11841,                 0.0001,                 0.0001,                 0.0001
                     57,                0.78537,                0.53431,                0.14141,                0.62004,                0.51465,                0.55319,                0.30356,                0.67037,                0.50184,                0.11706,                 0.0001,                 0.0001,                 0.0001
                     58,                0.77697,                0.53184,                0.13892,                0.64442,                0.52342,                0.56528,                0.31197,                 0.6642,                 0.4973,                0.11594,                 0.0001,                 0.0001,                 0.0001
                     59,                0.76991,                0.52758,                0.13765,                0.63934,                0.53938,                0.57517,                0.32197,                0.65848,                0.49353,                 0.1147,                 0.0001,                 0.0001,                 0.0001
                     60,                0.76643,                0.52653,                0.13664,                0.65394,                0.55197,                0.58885,                0.33087,                0.65123,                0.48898,                0.11342,                 0.0001,                 0.0001,                 0.0001
                     61,                0.77299,                0.52941,                0.13903,                0.67966,                 0.5472,                0.59669,                 0.3374,                  0.643,                0.48588,                0.11205,                 0.0001,                 0.0001,                 0.0001
                     62,                0.77382,                 0.5303,                0.13902,                0.69899,                 0.5572,                0.61086,                0.34529,                0.63502,                0.48204,                0.11105,                 0.0001,                 0.0001,                 0.0001
                     63,                0.76101,                0.52336,                0.13554,                0.69221,                0.56587,                0.62412,                0.35447,                0.62737,                0.47839,                0.11002,                 0.0001,                 0.0001,                 0.0001
                     64,                0.75982,                0.52622,                0.13474,                0.69816,                0.57756,                 0.6391,                0.36659,                0.62246,                0.47417,                0.10906,                 0.0001,                 0.0001,                 0.0001
